Nama Hewan,Nama Barang,Nama Objek,Nama Benda,Nama Makanan,Sifat Lucu
Serigala,Dispenser,Perahu,Kipas,Nasi Goreng,Seru
Komodo,Buku,Gedung,Sikat Gigi,Es Buah,Gemesin
Kenari,Kursi,Ambulans,Cincin,Gudeg,Supel
Angsa,Kursi,Delman,Bola,Gado-Gado,Cerdik
Badak,Kompor,Karavan,Payung,Es Buah,Imut
Orangutan,Keyboard,Traktor,Jam,Rawon,Pandai
Gajah,Vacuum Cleaner,Pesawat,Parfum,Jus,Ngakak
Kura-Kura,Kipas Angin,Rumah,Anting,Jus,Cerdas
Kakatua,Proyektor,Motor,Sikat Gigi,Cupcake,Menggemaskan
Zebra,Mixer,Jembatan,Lotion,Kerupuk,Gemes
Kucing,Router,Bulldozer,Sprei,Sambal,Unik
Kaswari,AC,Sedan,Ember,Yogurt,Centil
Burung Hantu,Modem,RV,Jaket,Waffle,Supel
Koala,Toaster,Pesawat,Sarung Tangan,Salad,Gemes
Pinguin,Vacuum Cleaner,Rumah,Gelang,Pizza,Lincah
Kelinci,Printer,Tram,Parfum,Rendang,Riang
Kuda,Whiteboard,Tram,Selimut,Smoothie,Lucu Banget
Orangutan,Mouse,Jeep,Selimut,Tempe,Riang
Kuda Nil,Harddisk,Gedung,Topi,Yogurt,Bikin Ngakak
Kadal,Proyektor,Ekskavator,Tas,Gado-Gado,Ngakak
Angsa,CCTV,Pemadam Kebakaran,Raket,Pizza,Asyik
Ular,Flashdisk,Pemadam Kebakaran,Sapu,Brownies,Nyeleneh
Kangguru,Mixer,Mobil,Kain,Smoothie,Menghibur
Simpanse,Dispenser,Pikap,Selimut,Sambal,Centil
Kaswari,Gelas,SUV,Kain,Pempek,Ngakak
Kadal,Kulkas,Jembatan,Guling,Pizza,Menggemaskan
Merpati,Laptop,Rumah,Sarung Tangan,Spaghetti,Kreatif
Elang,Dispenser,Jalan,Kasur,Sambal,Kreatif
Kucing,Scanner,Helikopter,Shampoo,Puding,Supel
Koala,Router,Gedung,Deodoran,Ketoprak,Imut-imut
Pinguin,Harddisk,Sepeda,Topi,Jus,Imut-imut
Koala,Microwave,Rumah,Kasur,Jus,Supel
Anjing,Setrika,Panser,Shampoo,Rendang,Imut
Kura-Kura,Toaster,Helikopter,Handuk,Waffle,Lucu
Zebra,Modem,Jembatan,Selang,Nasi Goreng,Aneh
Kaswari,AC,Tram,Kasur,Smoothie,Bikin Ketawa
Serigala,Komputer,Becak,Sabun,Gudeg,Ngakak
Burung Hantu,CCTV,Pemadam Kebakaran,Sapu,Spaghetti,Konyol
Lumba-Lumba,Mixer,Yacht,Pasta Gigi,Sambal,Humoris
Gajah,Kursi,Taksi,Selimut,Es Krim,Lucu Pol
Kura-Kura,Microwave,Feri,Dasi,Pempek,Kocak
Pinguin,Lampu,RV,Gelang,Spaghetti,Jail
Angsa,Televisi,Perahu,Jam,Es Buah,Lucu
Lumba-Lumba,Oven,Gedung,Sikat Gigi,Jus,Imut-imut
Buaya,Handphone,Truk,Lotion,Rendang,Cerdik
Kaswari,Kulkas,Tram,Topi,Hotdog,Usil
Angsa,Vacuum Cleaner,Taksi,Tirai,Smoothie,Lucu Pol
Kelinci,Komputer,Jeep,Tirai,Soto,Geli
Kadal,Kulkas,Jeep,Anting,Es Krim,Seru
Iguana,Printer,Taksi,Cincin,Burrito,Lucu Banget
Kuda Nil,Scanner,Helikopter,Kacamata,Yogurt,Lucu
Singa,Printer,Helikopter,Kipas,Burger,Lucu Abis
Gorila,Proyektor,Sedan,Gayung,Roti,Ceria
Buaya,Buku,Jeep,Kalung,Tempe,Lincah
Panda,Kompor,Sepeda,Guling,Tahu,Menggelitik
Merpati,Telepon,Bulldozer,Deodoran,Yogurt,Gemes
Kura-Kura,Kamera,Motor,Sepatu,Puding,Jenaka
Zebra,Speaker,Perahu,Cincin,Rawon,Unik
Elang,AC,Minivan,Parfum,Mie Ayam,Cerdas
Kuda Nil,Rice Cooker,Feri,Bola,Tahu,Geli
Ular,Microwave,Jet,Lotion,Mie Ayam,Bikin Ketawa
Koala,Monitor,Karavan,Sabun,Soto,Menggemaskan
Merpati,Scanner,Becak,Sprei,Tempe,Penyayang
Kakatua,Harddisk,Taksi,Pasta Gigi,Cupcake,Menarik
Kucing,Speaker,Kapal,Lotion,Cupcake,Geli
Buaya,Printer,Delman,Gelang,Brownies,Konyol
Angsa,Printer,Pikap,Sisir,Rawon,Humoris
Orangutan,Meja,Tank,Raket,Ketoprak,Menggemaskan
Pinguin,Scanner,Truk,Ember,Soto,Jenaka
Cendrawasih,Kursi,Helikopter,Kasur,Cupcake,Imut-imut
Kura-Kura,Keyboard,Kapal Selam,Lotion,Sate,Geli
